social_song_id,track_id
1207,1lbUtnuS8AYvKd0lziKpJ4
1815,5ulXi5NcuYXOUaioutF70X
1248,0YAMQSmHk6BSUGTYpaoqTJ
2029,7p9dd71JR2ucoAuO1Sy0VZ
1390,4cTIFTmacy3vyi5A5F3YeD
1009,0yYUFlFU2qxjz3YFVwC0FR
1405,02xd7yuAEiLOF7rt4zlPep
1438,2biU8EO9TFZ6lMz8q6A92W
1572,6QRHr540RPyPgWNyCtX0Y5
4416,1p6WtbNY4bDjiFBmSZolJY
2435,0zTdT65lUqepmx7N5dwVRj
2328,0lzQFk4zRJbdfitf68v1Di
2215,6cARFkZxx2JR3JlvDzeLZc
2757,5j5OayPyUCnJSK0RynvqgK
2049,1J707Wskr4x6JO9QwhiCm4
2234,4jCA5lFRXy7PkryLP7UIc8
2371,6kvoHl80mfCVTv7XnZkjQn
3655,6rbkRZKovJISNCd5cZtOMP
1253,7HsCmonROWdAi1ZhnAMX5C
1751,6gZVQvQZOFpzIy3HblJ20F
2032,5ivhfpfnoHhD8rUI2t3aJG
2446,4XNNf7EtykRU3gCVsnvssV
1035,7uhINGViZPygI2AljxO8KN
1190,5aXTfpNOqLj35ydEiLio67
1243,4crctLJMKJekuqQ7cQLpHV
1621,2vgN2Vc8Zv8wiYRkzW04LQ
71382,5utrjc4CKEFVy0D3eJxV70
1622,6PP705eJeisv4U5l7eOCR0
1015,1UhjmZcKXhl7PYtYrHKwRO
71383,4yhzZ9ESp4UwnJqImyMR3A
2084,1LQmyPcWxfN7yih7FYUNXe
1748,3fnqNxjN7o0tJe7zOQZV68
1031,3LwU6R57IykpJiB5a4wD2j
1171,1vN6E2OWpN9Jg29ROgO9tk
1305,3eUOVnvVw9ntGUqJmHKF1J
1753,0OrwGH9aeguhopTVubv0VZ
2054,05jqifzKZ3Ahz7PnOan3GF
3114,2sFBiCSUNc3ptKrCR8JABx
4040,1xSCr5uIndaHKFdO4s2V6B
2075,3M23T72K5eqHI2GzdFMMHE
3284,7A2kot5pYiciaIrOnGOPfA
3281,2jfLNlyUpxhFkoo1lJjiL3
1182,0qOnSQQF0yzuPWsXrQ9paz
2495,797fEwjPjyNhkoQCHDkzne
2933,1B8MHa0NveCF1ViBEOZWO5
2558,4yhJHhXYQz7uVT2ZmgS6oF
1013,6k3XXCE1ZzwevQlxf8dNaw
5199,264Jze0mvGjOzxNG8fLEuO
4342,3XEoa8R8XtnVV67uurLZsJ
1910,47zoccv2ybp4Ibkk0dTgdL
1020,7bdYxWPCs46dQ0XLwySOyv
1316,667VsfRZBPcI42mfFvgYpl
2373,17i5jLpzndlQhbS4SrTd0B
2025,5O7MsnN7SWgWYN5Y0L88M3
1120,3iRAoULKeeLRvgO12OQuLi
2871,5WLaJoYalaASb9JB7Yk5U6
3065,0g5939v90IJpXfHKMQhA91
2318,7fKV63uloCWmzj3HMQWZOS
1255,2zRL8YGh3v6VmYgFhcRmj9
2065,7D5x7oRRK279Tx3SzJ95it
